id,ano,status,ementa,autor,url
114362,2003,Arquivada,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que ""Institui o Código de Trânsito Brasileiro"", para dispor sobre o uso dos passeios, das ciclofaixas e ciclovias.",Roberto Jefferson,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=130868
134620,2003,Arquivada,"Dispõe sobre a implantação de ciclovias nas cidades com população superior a 50 mil habitantes, aglomerações urbanas e regiões metropolitanas.",Leônidas Cristino,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=166266
153420,2004,Arquivada,"Altera o inciso VI do art. 105 da Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre especificidades dos veículos de duas rodas.",Inocêncio Oliveira,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=197846
257781,2004,Transformado em Norma Jurídica,"Dá nova redação aos arts. 1º e 2º da Lei nº 8.010, de 29 de março de 1990, e acrescenta a alínea ""f"" ao inciso I do art. 2º da Lei nº 8.032, de 12 de abril de 1990, que dispõem sobre importações de bens destinados a pesquisa científica e tecnológica e suas respectivas isenções ou reduções de impostos.  
NOVA EMENTA DA REDAÇÃO FINAL: Dá nova redação a dispositivos das Leis nºs 8.010, de 29 de março de 1990 e 8.032, de 12 de abril de 1990, para estender a cientistas e pesquisadores a isenção tributária relativa a bens destinados à pesquisa científica e tecnológica; e faculta a inscrição no Sistema Integrado de Pagamento de Impostos e Contribuições das Microempresas e das Empresas de Pequeno Porte - SIMPLES, das pessoas jurídicas que especifica.",Poder Executivo,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=227632
263142,2004,Transformado em Norma Jurídica,"Dá nova redação aos arts. 1º e 2º da Lei nº 8.010, de 29 de março de 1990, e acrescenta a alínea ""f"" ao inciso I do art. 2º da Lei nº 8.032, de 12 de abril de 1990, que dispõem sobre importações de bens destinados a pesquisa científica e tecnológica e isençãos ou redução de impostos de importação.",Renato Casagrande,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=238469
287523,2005,Arquivada,"Acrescenta os artigos 1.336 - A e 1.336 - B na Lei nº 10.406, de 10 de janeiro de 2002  - Novo Código Civil -  dispondo sobre a reparabilidade pelo condomínio em caso de  furto ou roubo de veículo automotor, motocicleta ou bicicleta de condômino, ocorrido na garagem ou estacionamento interno.",João Batista,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=310562
288137,2005,Arquivada,"Dispõe sobre a criação do Cadastro Nacional de Bicicletas, e dá outras providências.",Ivo José,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=311611
292529,2005,Arquivada,Sugere ao Ministério das Cidades a formulação de programa para implantação de ciclovias ao longo de trechos de rodovias federais que cortam zonas urbanas.,Neuton Lima,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=320405
306333,2005,Arquivada,"Sugere ao Ministério das Cidades sejam tomadas as providências necessárias para a construção de uma ciclovia no percurso do contorno rodoviário da BR-163, no Município de Dourados (MS).",João Grandão,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=355518
310376,2005,Arquivada,"Acrescenta dispositivo ao art. 41 da Lei nº 10.257, de 10 de julho de 2001,  (Estatuto da Cidade), para fixar diretriz aplicável aos planos de transporte urbano integrados.",João Batista,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=365021
